N,Precision,Recall,nDCG,RMSE
1,0.8773011885568595,0.06694061337997707,0.8773011885568595,0.7143580346666588
2,0.8628097934085711,0.13040718178681002,0.9327745593387976,0.7302061092551061
3,0.8515928661592491,0.19176955804674772,0.9398465444356632,0.7402079277517966
4,0.8398400884856211,0.25030473346941295,0.9404457589612255,0.7494541138237071
5,0.830077612387987,0.3068882882613505,0.9394261475648937,0.7559878277034108
6,0.8208416132378489,0.36179117086731455,0.9381375700146037,0.7623666505920871
7,0.8115797254374735,0.4147090662594565,0.9369400941064464,0.7685552880022626
8,0.8022665066926624,0.465502486822685,0.9357417769016882,0.7741200080620592
9,0.7935043888701421,0.5149281802176521,0.9346113775929298,0.7792065954602618
10,0.7847043605414121,0.5624708166575415,0.9335533248672084,0.7837812146887864
11,0.7756535017605093,0.6078372475395653,0.9326445760700972,0.787697857942155
12,0.7660255208528615,0.6508584702395607,0.9318009539391419,0.7916527704883107
13,0.7563703590474241,0.6917364486764452,0.9310020748858895,0.7956486744690142
14,0.7460765304209493,0.7302057456725126,0.9302451278972719,0.7991269537459093
15,0.7349330733755766,0.7658789554811453,0.929586783449165,0.8029431336546833
16,0.7230594559634059,0.7985876239507923,0.9289663500797447,0.8063013669750707
17,0.7104709455301749,0.8285336166174838,0.9284010186459185,0.8091163181749716
18,0.6972419065235231,0.8558086052139902,0.9278947629113845,0.8125463478291873
19,0.6829475736508608,0.8796809835862675,0.9274435237882374,0.8154739952012494
20,0.6679970754752353,0.9006468429783632,0.9270669579603596,0.8178151310914189
